t,x,y,z
5.62,0.0000011,1.021684,0.5594001
5.64,0.0000024,1.0317428,0.5586398
5.66,0.000004,1.0410525,0.557599
5.68,0.0000057,1.0496954,0.5562978
5.7,0.0000074,1.057754,0.5547565
5.72,0.0000089,1.0653106,0.5529951
5.74,0.0000108,1.0792478,0.5488927
5.76,0.0000103,1.0921665,0.5441515
5.78,0.0000062,1.104726,0.5389328
5.8,-0.0000027,1.1175849,0.5333988
5.82,-0.000016,1.1312972,0.527874
5.84,-0.0000305,1.14621,0.5230036
5.86,-0.0000369,1.1542175,0.5210271
5.88,-0.0000423,1.1626462,0.5194702
5.9,-0.000046,1.1715365,0.5184182
5.92,-0.0000477,1.1809287,0.5179565
5.94,-0.0000468,1.1907013,0.5182753
5.96,-0.000043,1.2004001,0.5196212
5.98,-0.0000373,1.2097622,0.5219829
6,-0.0000302,1.2185332,0.5253418
6.02,-0.0000225,1.2264585,0.5296791
6.04,-0.000015,1.2332839,0.5349761
6.06,-0.0000083,1.2387548,0.541214
6.08,-0.0000055,1.2409027,0.5446799
6.1,-0.0000032,1.2426167,0.5483741
6.12,-0.0000014,1.2438648,0.5522941
6.14,-0.0000003,1.2446153,0.5564376
6.16,0,1.2448363,0.5608003
6.18,0,1.2445193,0.5651293
6.2,0,1.243693,0.5692476
6.22,0,1.2423875,0.5731522
6.24,0,1.2406328,0.5768399
6.26,0,1.2384588,0.5803076
6.28,0,1.232973,0.5865704
6.3,0,1.2261699,0.5919155
6.32,0,1.2182893,0.5963178
6.34,0,1.2095711,0.5997522
6.36,0,1.200255,0.6021935
6.38,0,1.190581,0.6036166
6.4,0,1.1807931,0.6040013
6.42,0,1.1713398,0.6036465
6.44,0,1.162379,0.6027829
6.46,0,1.1538749,0.6014697
6.48,0,1.145792,0.5997664
6.5,0,1.1380946,0.5977322
6.52,0,1.1237133,0.5929087
6.54,0,1.1104446,0.5874736
6.56,0,1.0978763,0.5818406
6.58,0,1.0853508,0.5763061
6.6,0,1.0721824,0.5711525
6.62,0,1.0651428,0.5688069
6.64,0,1.0576852,0.5666625
6.66,0,1.0497241,0.5647547
6.68,0,1.0411735,0.5631188
6.7,0,1.0319479,0.5617901
6.72,0,1.0219615,0.560804
6.74,0,1.0111286,0.5601957
6.76,0,0.999365,0.5600003
6.78,-0.0000155,0.9753353,0.560445
6.8,-0.0000653,0.9520249,0.5617154
6.82,-0.0001563,0.9294169,0.5637831
6.84,-0.0002955,0.9074946,0.5666193
6.86,-0.0004898,0.8862411,0.5701956
6.88,-0.0007463,0.8656397,0.5744832
6.9,-0.0010718,0.8456737,0.5794537
6.92,-0.0014734,0.8263262,0.5850784
6.94,-0.0019579,0.8075804,0.5913287
6.96,-0.0025324,0.7894195,0.598176
6.98,-0.0032038,0.7718269,0.6055918
7,-0.0039791,0.7547856,0.6135473
7.02,-0.0048653,0.7382789,0.6220142
7.04,-0.0058693,0.72229,0.6309637
7.06,-0.006998,0.7068021,0.6403672
7.08,-0.0082585,0.6917985,0.6501961
